CMRR,BOLT_LENGTH_ft,BOLT_TENSION,BOLT_GROUT_COLUMN,BOLT_CAPACITY_Kips,BOLTS_PER_ROW,ROW_SPACING_ft,ENTRY_WIDTH_ft,PRSUP,INTERSECTION_DIAGONAL_ft,DEPTH_of_COVER_ft,MINING_HEIGHT_ft,DRIVAGE_10000_ft,No._of_3WAY,No._of_4Way,No._of_SEGMENTS,FALLS_3W,FALLS_4W,SEGMENT_FALLS,ROOF_FALL_RATE
59,6,0,3,20.5,4,5,18.5,5.32,65.9,150,6,3.5,94,282,705,0,0,0,0
59,6,1,3,20.5,4,5,18.5,5.32,65.9,150,6,3.5,95,300,742.5,0,0,0,0
50,4,0,3,17.7,4,4,18,3.93,60,400,7,3.02,82,175,473,0,1,1,0.66
50,6,0,3,17.7,4,4,18,5.9,60,400,7,0.93,22,55,143,0,1,0,1.08
75,4,0,3,17.7,4,4,18,3.93,60,400,7,2.34,58,116,319,0,0,0,0
75,2.5,1,1,17.7,4,4,18,2.46,60,400,7,2.32,51,140,356.5,0,0,0,0
44,6,0,3,18.6,4,4,18,6.2,62,350,3.5,1.4,28,128,298,0,2,3,3.57
44,6,1,2,26.4,4,4,18,8.8,62,350,3.5,0.44,15,39,100.5,0,0,0,0
44,4,0,3,19.6,4,4,18,4.36,62,350,3.5,4.75,122,461,1105,0,0,0,0
45,6,1,1,18,4,5,19,4.55,65,350,5.5,5.8,148,434,1090,0,24,9,5.69
41,5,0,3,18,4,5,19,3.79,59,350,5.5,8.6,220,562,1454,1,6,4,1.28
45,6,1,3,18,4,5,19,4.55,59,350,5.5,6.9,150,444,0,0,2,0,0.29
41,4,0,3,18,4,5,19,3.03,59,350,5.5,6.9,0,0,1113,0,0,4,0.58
45,6,0,3,18,4,5,19,4.55,59,350,5.5,21.9,700,1250,3550,0,2,3,0.23
41,4,0,3,20,4,4,20,4,61,300,8,8.52,265,690,1777.5,1,1,0,0.23
78,4,0,3,20,4,4,20,4,61,300,8,4.94,155,445,1122.5,0,0,0,0
70,6,0,3,20.5,4,4,18,6.83,60,500,7,2.93,53,203,485.5,0,0,0,0
50,6,0,3,20.5,4,4,18,6.83,60,500,7,5.24,96,489,1122,1,2,3,1.15
30,6,0,3,20.5,4,4,18,6.83,60,500,7,5.1,720,3667,8414,5,17,19,8.04
40,5,0,3,20,4,4,16,6.25,61,750,7,176.7,4604,5528,17962,23,23,46,0.52
38,4,0,3,20.5,4,4,19,4.32,60,600,4,39.84,1000,3079,7658,3,11,12,0.65
40,5,0,3,33,4,4,16,10.31,61,500,6.5,46.27,1207,1684,5178.5,4,7,7,0.39
40,6,1,2,33,3,4,16,9.28,61,725,6.5,17.12,483,385,1494.5,3,0,1.5,0.26
55,6,0,3,26,4,4,19,8.21,75.2,1050,10,3.79,149,89,401.5,1,2,0,0.79
55,5,0,3,26,4,4,19,6.84,75.2,1050,10,9.77,207,288,886.5,0,0,0,0
55,4,0,3,26,4,4,19,5.47,75.2,1050,10,0.74,18,36,99,0,3,0,4.05
55,5,1,2,30,4,4,19,7.89,75.2,1050,10,11.34,540,270,1350,0,4,0,0.35
42,4,0,3,18.4,4,5,18,3.27,61,200,5,5.9,0,654,1308,0,7,7,2.37
42,4,0,3,18.4,4,5,20,2.94,70.5,200,5,0.65,0,109,104,0,2,3,7.69
42,5,0,3,18.4,4,5,18,4.09,61,200,5,0.49,0,60,120,0,0,0,0
42,5,0,3,18.4,4,5,20,3.68,70.5,200,5,0.05,0,10,10,0,0,0,0
42,4.5,0,3,18.4,4,5,18,3.68,61,200,5,1.76,0,180,372,0,6,5,6.25
42,4.5,0,3,18.4,4,5,20,3.31,54,200,5,0.2,62,0,0,0,0,0,0
45,5,1,3,18.6,4,4,20,4.65,66,300,6,9.53,236,599,1552,11,8,11,3.15
55,4,0,3,17.6,4,4,19,3.71,62.7,500,6.5,1.44,30,58,161,0,0,0,0
55,4,0,3,17.6,4,4,19,3.71,62.7,1000,6.5,14.37,252,647,1672,0,2,2,0.28
45,5,0,3,18.4,4,4,20,4.6,59,300,10,13,346,1036,2591,4,16,9,2.23
37,6,0,3,18.4,4,4,20,5.52,58,400,10,4,114,285,741,0,8,1,2.25
37,6,1,2,33.1,4,4,20,9.93,58,400,10,0.58,15,36,94.5,0,4,3,12.07
37,8,1,2,33.1,4,4,20,13.24,58,250,10,0.58,17,46,117.5,0,3,2,8.62
44,4,0,3,17.6,4,4,19,3.71,64,300,4,5.88,129,423,1039.5,0,3,1,0.68
46,4,0,3,18.4,5,4,19,4.84,64.5,300,3.5,1.9,68,101,304,1,4,0,2.63
53,4,0,3,18.4,4,4,19,3.87,62,300,3,0.67,22,51,135,0,0,0,0
58,3.5,0,3,17.7,4,4,20,3.1,68.6,800,6,10.2,274,485,1481,0,6,3,0.88
58,3.5,0,3,17.7,4,4,20,3.1,75.7,800,6,1.2,0,137,137,0,4,0,3.33
58,5,0,3,17.7,4,4,20,4.43,68.6,800,6,8.8,220,330,1100,1,0,1,0.23
58,5,0,3,17.7,4,4,20,4.43,75.7,800,6,1.2,0,110,110,0,0,0,0
58,3.5,0,3,17.7,4,4,20,3.1,64.8,800,6,4.8,112,254,681,0,0,0,0
58,5,0,3,17.7,4,4,20,4.43,64.8,800,6,8.9,188,418,1108,0,0,0,0
42,4,0,3,31,4,4,20,6.2,59,500,6.5,3.1,55,95,272.5,3,2,4,2.9
42,6,1,2,37,4,4,20,11.1,62,500,6.5,4.5,47,130,330.5,1,2,2,1.11
40,4,0,3,17.7,4,4,18,3.93,63,350,7,4.45,93,236,611.5,3,6,6,3.37
40,4,0,3,17.7,4,6,18,2.62,63,350,7,0.96,24,60,156,3,4,3,10.42
50,6,0,3,17.7,4,4,18,5.9,63,350,7,1.28,32,80,208,0,0,0,0
50,5,0,3,17.7,4,4,18,4.92,63,350,7,0.64,16,40,104,0,0,0,0
75,2.5,1,1,17.7,4,4,18,2.46,63,350,7,3.74,96,234,612,0,0,0,0
40,8,1,2,33,4,4,18,14.67,65,600,7.5,17.2,340,820,2150,9,43,32,4.88
63,6,0,3,26.5,4,4,18,8.83,69,500,7.5,0.17,21,74,0,0,1,0,5.88
63,4,0,3,26.5,4,4,18,5.89,69,500,7.5,0.9,0,0,179,0,0,1,1.11
55,6,0,3,26.5,4,4,18,8.83,69,500,7.5,0.28,62,96,0,0,5,0,17.86
45,4,0,3,26.5,4,4,18,5.89,69,500,7.5,1.43,0,0,285,0,0,5,3.51
28,4,0,3,26.5,4,4,18,5.89,69,500,7.5,2.76,0,0,552,0,0,5,1.81
28,6,0,3,26.5,4,4,18,8.83,69,500,7.5,0.52,59,232,0,0,9,0,17.18
39,4,0,3,26.5,4,4,18,5.89,69,500,7.5,6.13,0,0,122.5,0,0,1,0.16
39,6,0,3,26.5,4,4,18,8.83,69,500,7.5,1.14,93,543,0,0,1,0,0.87
76,4,0,3,26.5,4,4,18,5.89,69,500,7.5,8.15,0,0,16292,0,0,4,0.49
76,6,0,3,26.5,4,4,18,8.83,69,500,7.5,15.26,1340,7141,0,1,10,0,0.72
40,6,0,3,17.7,4,4,18,5.9,63,400,7,3.02,75,185,482.5,0,0,0,0
40,6,1,2,17.7,4,4,18,5.9,63,400,7,1,24,60,156,0,0,0,0
40,6,1,1,17.7,4,4,18,5.9,63,400,7,1.1,25,65,167.5,0,3,0,2.73
50,6,0,3,17.7,4,4,18,5.9,63,400,7,1.28,30,75,195,0,0,0,0
40,6,1,2,17.7,4,4,18,5.9,63,400,7,0.76,18,45,117,0,0,0,0
42,6,1,2,33,4,5,19,8.34,61,650,6,73.2,1967,2825,8600.5,5,34,16.5,0.76
42,4,1,2,45,4,5,19,7.58,61,650,6,1.04,23,47,128.5,2,11,6,18.27
66,4,0,3,26.5,4,4,20,4.71,74.6,1100,7.1,17.9,346,777,2073,0,0,0,0
55,6,0,3,26,4,4,20,7.8,73.5,500,10,2.02,48,72,216,0,0,0,0
30,6,0,3,26,4,4,20,7.8,73.5,500,10,0.76,18,27,81,3,5,0,10.53
50,6,0,3,18.4,4,4,20,5.52,60,300,6,0.94,80,48,168,0,0,3,3.19
50,6,0,3,18.4,4,4,16,6.9,50,300,6,4.94,254,221,871,0,0,2,0.4
50,6,1,3,26.5,4,4,20,7.95,60,300,6,0.1,26,3,42,0,0,2,20
50,6,1,3,26.5,4,4,16,9.94,50,300,6,0.24,40,19,101,3,1,0,16.67
50,4,1,2,26.5,4,4,20,5.3,60,300,6,0.04,2,4,11,0,0,0,0
50,4,1,2,26.5,4,4,16,6.63,50,300,6,0.22,13,15,49.5,0,1,2.5,15.91
50,6,0,3,26.5,4,4,22,7.23,78.4,1000,5,14.3,396,736,1914,12,24,14,3.5
35,6,0,3,18,4,4,18,6,64,200,7.5,2.9,39,227,512.5,0,0,0,0
35,6,1,2,18,4,4,18,6,64,200,7.5,0.98,11,52,120.5,0,0,0,0
35,4,0,3,18,4,4,18,4,64,200,7.5,0.51,9,52,117.5,0,0,0,0
52,4,0,3,17.7,4,4,18,3.93,63,400,7,8.2,179,516,1300.5,0,21,5,3.17
40,4,0,3,17.7,4,4,18,3.93,63,400,7,5.3,117,216,607.5,12,4,10,4.91
75,2.5,1,1,17.7,4,4,18,2.46,63,400,7,0.61,27,73,186.5,0,0,0,0
32,6,0,3,26,4,4,18,8.67,54,300,10,13.5,526,429,1647,4,1,4,0.67
32,6,0,3,26,4,4,18,8.67,54,800,10,2.5,62,93,279,1,1,3,2
51,3.5,0,3,18.5,4,4,20,3.24,66,500,3.5,11.8,261,763,1917.5,0,0,0,0
30,5,1,2,37,4,4.5,18,9.14,56,300,6,3.22,64,258,612,0,8,1,2.8
30,6,0,3,20.5,4,4.5,18,6.07,57,300,6,12.5,236,873,2100,4,21,25,4
44,3.5,0,3,20,4,4,20,3.5,68,250,3.5,6.4,296,506,1456,0,4,6,1.56
47,3,0,3,26.5,4,4,20,3.98,61.7,300,3,7.9,275,701,1814.5,0,0,0,0
47,3,0,3,26.5,4,4,20,3.98,66.3,300,3,1.2,0,201,402,0,0,0,0
47,3,0,3,26.5,4,4,20,3.98,61.7,500,3,3.9,144,402,1020,0,0,0,0
47,3,0,3,26.5,4,4,20,3.98,66.3,500,3,0.66,0,127,254,0,11,10,31.82
47,4,0,3,26.5,4,4,20,5.3,62.9,500,3,2.8,74,153,417,0,0,0,0
47,4,0,3,26.5,4,4,20,5.3,67.2,500,3,0.3,0,43,386,0,0,0,0
49,3.5,0,3,26.5,4,4,20,4.64,63,150,3,1,41,72,205.5,0,0,0,0
49,3.5,0,3,26.5,4,4,20,4.64,57,150,3,0.1,0,19,38,0,0,0,0
49,3,0,3,26.5,4,4,20,3.98,57,200,3,0.1,0,16,32,0,0,0,0
49,3,0,3,26.5,4,4,20,3.98,63,200,3,0.8,23,43,120.5,0,0,0,0
60,4,0,3,18.6,4,4,16,4.65,60,400,4.3,17.4,216,1215,2754,0,0,1,0.06
39,6,0,3,18.6,4,4,16,6.98,60,400,4.3,5.5,81,294,709.5,0,1,1,0.36
40,5,0,3,18.6,4,4,16,5.81,60,400,4.3,16.8,186,1601,3481,3,16,11,1.79
